Payload ID,Mode,Movement (T/F),Movement Vehicle,Final X,Final Y,Final Z,Start Time (hr elasped),Estimate Run time (hr)
15.0,Safe,T,Transport2,0.0,25.0,0.0,32.0,1.0
15.0,Safe,F,,,,,33.0,22.0
15.0,Standby,F,,,,,55.0,3.0
15.0,Active,F,,,,,58.0,8702.0
15.0,Safe,F,,,,,8760.0,
,,,,,,,,
16.0,Safe,T,Starship,0.0,0.0,0.0,0.0,28.0
16.0,Safe,T,Transport2,0.0,25.0,0.0,28.0,8610.0
16.0,Standby,F,,,,,8638.0,2.0
16.0,Active,F,,,,,8640.0,120.0
16.0,Safe,F,,,,,8760.0,
,,,,,,,,
17.0,Safe,T,Starship,0.0,0.0,0.0,0.0,28.0
17.0,Safe,T,Transport2,0.0,25.0,0.0,28.0,8610.0
17.0,Standby,F,,,,,8638.0,2.0
17.0,Active,F,,,,,8640.0,120.0
17.0,Safe,F,,,,,8760.0,
,,,,,,,,
18.0,Safe,T,Starship,0.0,0.0,0.0,0.0,52.0
18.0,Standby,F,,,,,52.0,2.0
18.0,Active,T,,-100.0,-100.0,0.0,54.0,8706.0
18.0,Safe,F,,,,,8760.0,
,,,,,,,,
19.0,Safe,T,Starship,0.0,0.0,0.0,0.0,52.0
19.0,Standby,F,,,,,52.0,2.0
19.0,Active,T,,-100.0,-100.0,0.0,54.0,8706.0
19.0,Safe,F,,,,,8760.0,
,,,,,,,,
20.0,Safe,T,Starship,0.0,0.0,0.0,0.0,56.0
20.0,Safe,T,Transport2,12.5,11.25,0.0,56.0,64.0
20.0,Standby,F,,,,,120.0,24.0
20.0,Active,F,,,,,144.0,72.0
20.0,Standby,F,,,,,216.0,48.0
20.0,Active,T,,-100.0,-100.0,0.0,264.0,432.0
20.0,Safe,F,,,,,696.0,8064.0
,,,,,,,,
21.0,Safe,T,Starship,0.0,0.0,0.0,0.0,6.0
21.0,Safe,T,Transport2,0.0,35.0,0.0,6.0,1.0
21.0,Standby,F,,,,,7.0,3.0
21.0,Active,F,,,,,10.0,8750.0
21.0,Safe,F,,,,,8760.0,
,,,,,,,,
22.0,Safe,T,Starship,0.0,0.0,0.0,0.0,24.0
22.0,Safe,T,Transport1,0.0,35.0,0.0,24.0,1.0
22.0,Standby,F,,,,,25.0,3.0
22.0,Active,F,,,,,28.0,8732.0
22.0,Safe,F,,,,,8760.0,
,,,,,,,,
